path, name1, source1, url1,
"mod\answer\BGM\03_cele.wav","daily passing by(celesta) ","Higurashi no Naku Koro ni Kai ","V_uVKBZ1_74",
"mod\answer\BGM\1.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\answer\BGM\3.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\answer\BGM\4.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\answer\BGM\addse15.wav","BSFX Clock Tick (New)","","",
"mod\answer\BGM\air_pizz_ver2.wav","Air Pizz ","Higurashi no Naku Koro ni Kai ","9lSzhUYIw_o",
"mod\answer\BGM\amber.wav","Amber ","Higurashi no Naku Koro ni Kai ","da89qvaDZtc",
"mod\answer\BGM\ame.wav","BSFX Drippy Rain (GIN)","","",
"mod\answer\BGM\ame_9.wav","BSFX Drippy Rain (GIN)","","",
"mod\answer\BGM\as_time_goes_by.wav","Over the sky ","Higurashi no Naku Koro ni Kai ","nqUEx8Hroto",
"mod\answer\BGM\attack_2dj-san_t.wav","Assault Operations ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","4QfNMaiM8Og",
"mod\answer\BGM\b01_akarui.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\answer\BGM\b03_dame.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\answer\BGM\b04_bukatu.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\answer\BGM\b08_izyou.wav","Insanity (Kyoki ⧸ 狂気) ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qsywLEgelUo",
"mod\answer\BGM\b10_giwaku2.wav","Depressive Paranoia ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","rOK2xE405_s",
