answer\BGM\03_cele.ogg.wav,daily passing by(celesta) ,Higurashi no Naku Koro ni Kai ,V_uVKBZ1_74,
answer\BGM\1.ogg.wav,Boy in the Windmill (Fuushagoya no Shounen???????? ) ,Higurashi no Naku Koro ni Kai ,szDKbPLq-to,
answer\BGM\3.ogg.wav,bright sun ,Higurashi Daybreak [Disc 2] ,1BSQveysms0,
answer\BGM\4.ogg.wav,spinning seesaw ,Higurashi Daybreak [Disc 2] ,4IuDgaMyKLA,
answer\BGM\addse15.ogg.wav,
answer\BGM\air_pizz_ver2.ogg.wav,Air Pizz ,Higurashi no Naku Koro ni Kai ,9lSzhUYIw_o,
answer\BGM\amber.ogg.wav,Amber ,Higurashi no Naku Koro ni Kai ,da89qvaDZtc,
answer\BGM\ame.ogg.wav,
answer\BGM\ame_9.ogg.wav,
answer\BGM\as_time_goes_by.ogg.wav,Over the sky ,Higurashi no Naku Koro ni Kai ,nqUEx8Hroto,
answer\BGM\attack_2dj-san_t.ogg.wav,Assault Operations ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,4QfNMaiM8Og,
answer\BGM\b01_akarui.ogg.wav,Boy in the Windmill (Fuushagoya no Shounen???????? ) ,Higurashi no Naku Koro ni Kai ,szDKbPLq-to,
answer\BGM\b03_dame.ogg.wav,bright sun ,Higurashi Daybreak [Disc 2] ,1BSQveysms0,
answer\BGM\b04_bukatu.ogg.wav,spinning seesaw ,Higurashi Daybreak [Disc 2] ,4IuDgaMyKLA,
answer\BGM\b08_izyou.ogg.wav,Insanity (Kyoki ? ??) ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,qsywLEgelUo,
answer\BGM\b10_giwaku2.ogg.wav,Depressive Paranoia ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,rOK2xE405_s,
answer\BGM\b11_rika.ogg.wav,Nipa~? ,Higurashi Daybreak [Disc 2] ,1wamdr1ruzI,
answer\BGM\b11_rika_oldver.ogg.wav,Nipa~? ,Higurashi Daybreak [Disc 2] ,1wamdr1ruzI,
