path, name1, source1, url1, name2, source2, url2, name3, source3, url3,
"mod\answer\BGM\03_cele.ogg.wav","daily passing by(celesta) ","Higurashi no Naku Koro ni Kai ","V_uVKBZ1_74",
"mod\answer\BGM\1.ogg.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\answer\BGM\3.ogg.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\answer\BGM\4.ogg.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\answer\BGM\addse15.ogg.wav","BSFX Clock Tick (New)","","",
"mod\answer\BGM\air_pizz_ver2.ogg.wav","air pizz","","",
"mod\answer\BGM\amber.ogg.wav","Amber ","Higurashi no Naku Koro ni Kai ","da89qvaDZtc",
"mod\answer\BGM\ame.ogg.wav","BSFX Drippy Rain (GIN)","","",
"mod\answer\BGM\ame_9.ogg.wav","BSFX Drippy Rain (GIN)","","",
"mod\answer\BGM\as_time_goes_by.ogg.wav","Over the sky ","Higurashi no Naku Koro ni Kai ","nqUEx8Hroto",
"mod\answer\BGM\attack_2dj-san_t.ogg.wav","Assault Operations ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","4QfNMaiM8Og",
"mod\answer\BGM\b01_akarui.ogg.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\answer\BGM\b03_dame.ogg.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\answer\BGM\b04_bukatu.ogg.wav","spinning seesaw ","Higurashi Daybreak [Disc 2] ","4IuDgaMyKLA",
"mod\answer\BGM\b08_izyou.ogg.wav","Insanity (Kyoki ⧸ 狂気) ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qsywLEgelUo",
"mod\answer\BGM\b10_giwaku2.ogg.wav","Depressive Paranoia ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","rOK2xE405_s",
"mod\answer\BGM\b11_rika.ogg.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\answer\BGM\b11_rika_oldver.ogg.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\answer\BGM\bellflower.ogg.wav","Bellflower ","Higurashi no Naku Koro ni Kai ","738CFl3SVio",
"mod\answer\BGM\bigbear.ogg.wav","Big Bear ","Higurashi no Naku Koro ni Kai ","i2bp9VpmSCM",
"mod\answer\BGM\birth_and_death.ogg.wav","Birth and death ","Higurashi no Naku Koro ni Kai ","7CLltCSDnY0",
"mod\answer\BGM\b_dive.ogg.wav","Sheep Counts ","Higurashi no Naku Koro ni Kai ","lEH5EVCS0yA",
"mod\answer\BGM\cafe.ogg.wav","Boy in the Windmill (Fuushagoya no Shounen⧸風車小屋の少年 ) ","Higurashi no Naku Koro ni Kai ","szDKbPLq-to",
"mod\answer\BGM\cradle_song.ogg.wav","Cradle Song ","Higurashi no Naku Koro ni Kai ","ie1GdUcudEc",
"mod\answer\BGM\deadend.ogg.wav","Unseen Future (Mienu Mirai⧸見えぬ未来) ","Higurashi no Naku Koro ni Kai ","Y44kndqH2Xc",
"mod\answer\BGM\demo_48khz.ogg.wav","Shadow (Kage⧸陰(かげ)) ","Higurashi no Naku Koro ni Kai ","KRdt0eQTUdg",
"mod\answer\BGM\demo_long.ogg.wav","you-destructive","","",
"mod\answer\BGM\denwa.ogg.wav","BSFX Telephone (GIN)","","",
"mod\answer\BGM\denwa_m.ogg.wav","BSFX Old Fashioned Phone Ringing (New)","","",
"mod\answer\BGM\depressive paranoia.ogg.wav","Depressive Paranoia ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","rOK2xE405_s",
"mod\answer\BGM\depressive_paranoia.ogg.wav","Depressive Paranoia ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","rOK2xE405_s",
"mod\answer\BGM\door.ogg.wav","door","","",
"mod\answer\BGM\down.ogg.wav",
"mod\answer\BGM\er_ver3.ogg.wav","두 사람","","",
"mod\answer\BGM\fearlessnessl_e.ogg.wav","Fearlessness","","",
"mod\answer\BGM\feel.ogg.wav","feel","","",
"mod\answer\BGM\getting_mad.ogg.wav","Gallery of Madness (Kiyouki he no Kairou⧸狂気への回廊) ","Higurashi no Naku Koro ni Kai ","tQXW5L59Zpo",
"mod\answer\BGM\gray_2.ogg.wav","Gray ","Higurashi no Naku Koro ni Kai ","Vevn-qto7So",
"mod\answer\BGM\g_operation.ogg.wav","White Mist Peak -Pure White- ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","T4hvKYS9Cq4",
"mod\answer\BGM\g_tactics.ogg.wav","R of Can ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","94LSz6Fs2AU",
"mod\answer\BGM\heri.ogg.wav","BSFX Helicopter (New)","","",
"mod\answer\BGM\hgrs01.ogg.wav","Solitude ","Higurashi no Naku Koro ni Kai ","r1xK9_vUu9o",
"mod\answer\BGM\hgrs03.ogg.wav","feel","","",
"mod\answer\BGM\hgrs_03.ogg.wav","Frozen memories ","Higurashi no Naku Koro ni Kai ","gR6aS2m9HEE",
"mod\answer\BGM\hidebu14.ogg.wav","camouflage legend ","Higurashi Daybreak [Disc 1] ","dlMicD7gOjM",
